Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-19,Gunn: Ranked,,https://boxd.it/LjjGC,

Position,Name,Year,URL,Description
1,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
2,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
3,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,
4,The Suicide Squad,2021,https://boxd.it/fw6O,
5,Peacemaker,2023,https://boxd.it/Er7C,
6,Superman,2025,https://boxd.it/E9IU,
7,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/t77K,
